nr_dpus,input_size,transfer_type,cpu-dpu_time,dpu-cpu_time
38,786432,SERIAL,1.6077999999999997,0.0943
39,16384,PARALLEL,1.2407,0.07609999999999999
39,16384,BROADCAST,1.2282000000000002,0.09490000000000001
39,16384,SERIAL,1.1933000000000002,0.08109999999999998
39,393216,PARALLEL,1.3683,0.10019999999999998
39,393216,BROADCAST,1.3524,0.16149999999999998
39,393216,SERIAL,1.3946,0.08709999999999998
39,786432,PARALLEL,1.6355,0.131
39,786432,BROADCAST,1.5025000000000002,0.24630000000000002
39,786432,SERIAL,1.6313,0.09749999999999999
40,16384,PARALLEL,1.3082999999999998,0.11279999999999998
40,16384,BROADCAST,1.2052,0.08939999999999998
40,16384,SERIAL,1.1698,0.0909
40,393216,PARALLEL,1.5373,0.10269999999999999
40,393216,BROADCAST,1.4733,0.16649999999999998
40,393216,SERIAL,1.6779,0.092
40,786432,PARALLEL,1.6358000000000001,0.11129999999999998
40,786432,BROADCAST,1.5803999999999998,0.2535
40,786432,SERIAL,1.5782,0.09109999999999999
41,16384,PARALLEL,1.2288000000000001,0.094
41,16384,BROADCAST,1.2544999999999997,0.08929999999999999
41,16384,SERIAL,1.2449,0.07819999999999999
41,393216,PARALLEL,1.3831000000000002,0.11679999999999999
41,393216,BROADCAST,1.4983,0.1719
41,393216,SERIAL,1.4243000000000001,0.08849999999999998
41,786432,PARALLEL,1.7497,0.09159999999999999
41,786432,BROADCAST,1.6732000000000002,0.26249999999999996
41,786432,SERIAL,1.7469999999999999,0.09689999999999999
42,16384,PARALLEL,1.232,0.09369999999999998
42,16384,BROADCAST,1.2184,0.1059
42,16384,SERIAL,1.1907,0.0894
42,393216,PARALLEL,1.3901000000000001,0.09589999999999999
42,393216,BROADCAST,1.4635000000000002,0.17179999999999998
42,393216,SERIAL,1.4518,0.1056
42,786432,PARALLEL,1.8405999999999998,0.1272
42,786432,BROADCAST,1.6843,0.25939999999999996
42,786432,SERIAL,1.6237000000000001,0.09809999999999999
43,16384,PARALLEL,1.3174,0.11789999999999998
43,16384,BROADCAST,1.3401,0.1065
43,16384,SERIAL,1.3149000000000002,0.09319999999999998
43,393216,PARALLEL,1.6222999999999999,0.10419999999999999
43,393216,BROADCAST,1.5392999999999997,0.1714
